Watchtower ID: WT3030WFXSP, Postcode: 3030, Population Served: 16718, Watchtower Point of Contact Name: Adam Guess, x: 144.658381, y: -37.920393, Diameter of Cell: 0.133228
Watchtower ID: WT3030EAAIV, Postcode: 3030, Population Served: 16718, Watchtower Point of Contact Name: Kristi Blair, x: 144.624341, y: -37.916710, Diameter of Cell: 0.122846
Watchtower ID: WT3030CEWEY, Postcode: 3030, Population Served: 16718, Watchtower Point of Contact Name: Trina Smith, x: 144.528203, y: -37.909328, Diameter of Cell: 0.120639
Watchtower ID: WT3030JVCEB, Postcode: 3030, Population Served: 16718, Watchtower Point of Contact Name: Louis Johnston, x: 144.450241, y: -37.983950, Diameter of Cell: 0.125126
Watchtower ID: WT3030YFNAG, Postcode: 3030, Population Served: 16718, Watchtower Point of Contact Name: Corey Johnson, x: 144.703615, y: -37.924721, Diameter of Cell: 0.226458
Watchtower ID: WT3030LTIGF, Postcode: 3030, Population Served: 16718, Watchtower Point of Contact Name: Rose Doyle, x: 144.462788, y: -38.009119, Diameter of Cell: 0.155171
Watchtower ID: WT3029SXHHE, Postcode: 3029, Population Served: 31316, Watchtower Point of Contact Name: Linda Iversen, x: 144.712967, y: -37.865208, Diameter of Cell: 0.069996
Watchtower ID: WT3029WTVUC, Postcode: 3029, Population Served: 31316, Watchtower Point of Contact Name: Betty Kinkead, x: 144.655752, y: -37.850233, Diameter of Cell: 0.069984
Watchtower ID: WT3029FPTUC, Postcode: 3029, Population Served: 31316, Watchtower Point of Contact Name: Linda Holmes, x: 144.648963, y: -37.805333, Diameter of Cell: 0.113752
Watchtower ID: WT3977GQKCK, Postcode: 3977, Population Served: 46663, Watchtower Point of Contact Name: Elbert Gonzalez, x: 145.253319, y: -38.113610, Diameter of Cell: 0.156403
Watchtower ID: WT3977EDZMT, Postcode: 3977, Population Served: 46663, Watchtower Point of Contact Name: Jared Mini, x: 145.202038, y: -38.118293, Diameter of Cell: 0.071021
Watchtower ID: WT3064ZSYLE, Postcode: 3064, Population Served: 75457, Watchtower Point of Contact Name: Andres Hinerman, x: 144.999374, y: -37.529605, Diameter of Cell: 0.173041
Watchtower ID: WT3023FWWDF, Postcode: 3023, Population Served: 12794, Watchtower Point of Contact Name: Bruce Shelton, x: 144.787398, y: -37.717817, Diameter of Cell: 0.038986
Watchtower ID: WT3023UPTGH, Postcode: 3023, Population Served: 12794, Watchtower Point of Contact Name: Audrey Pottinger, x: 144.731563, y: -37.740931, Diameter of Cell: 0.087777
Watchtower ID: WT3023MTCLY, Postcode: 3023, Population Served: 12794, Watchtower Point of Contact Name: Karri Daniel, x: 144.758857, y: -37.793191, Diameter of Cell: 0.059745
Watchtower ID: WT3023QBQJF, Postcode: 3023, Population Served: 12794, Watchtower Point of Contact Name: Sandra Jaynes, x: 144.711687, y: -37.798353, Diameter of Cell: 0.086766
Watchtower ID: WT3023SNBCZ, Postcode: 3023, Population Served: 12794, Watchtower Point of Contact Name: Harold Street, x: 144.741093, y: -37.777017, Diameter of Cell: 0.052992
Watchtower ID: WT3150RJFPF, Postcode: 3150, Population Served: 60079, Watchtower Point of Contact Name: Charles Mayhew, x: 145.155581, y: -37.880884, Diameter of Cell: 0.046242
